uuid,slug,name
b2da9cf8-fae3-11e8-8af2-00163ec5a2fb,chencho-corleone,Chencho Corleone
11e81bd1-e791-cd8c-a703-a0369fe50396,fleetwood-mac,Fleetwood Mac
19fbf0c7-1f3e-4f29-8b94-47da94f6e3d3,jvke-1,JVKE
11e81bbe-73b9-31ce-a36b-a0369fe50396,tyler-the-creator,"Tyler, the Creator"
11e81bc0-59c7-f79e-9a97-a0369fe50396,pritam,Pritam
11e81bd2-69ce-d2c2-9df8-a0369fe50396,kygo,Kygo
11e81bcc-9d54-2814-a5b5-a0369fe50396,macklemore,Macklemore
11e81bba-f1b1-8df0-9c5e-a0369fe50396,steve-lacy,Steve Lacy
11e81bc8-4816-f6f0-8201-a0369fe50396,ty-dolla-ign,Ty Dolla $ign
11e81bca-d5fc-eacc-a05b-a0369fe50396,nirvana-3,Nirvana
11e81bc9-0631-85e2-8f8a-a0369fe50396,oliver-tree,Oliver Tree
11e81bba-bedb-73b4-814d-a0369fe50396,anne-marie,Anne-Marie
11e81bd2-1273-e8dc-918d-a0369fe50396,don-omar,Don Omar
11e81bbe-a1e7-d2e4-b8e4-a0369fe50396,tom-odell,Tom Odell
11e81bbc-af2f-8796-a62b-a0369fe50396,ac-dc,AC/DC
11e81bc3-ae42-c97c-ba17-a0369fe50396,labrinth,Labrinth
11e81bca-bf50-a034-976e-a0369fe50396,yandel,Yandel
11e83fee-011a-f66c-8d27-a0369fe50396,don-toliver,Don Toliver
11e81bd2-9a88-b982-9251-a0369fe50396,calum-scott,Calum Scott
11e81bc1-8353-6b56-8c3e-a0369fe50396,kali-uchis,Kali Uchis
11e81bd1-7ebd-3080-96bd-a0369fe50396,flo-rida,Flo Rida
c20c0560-92a8-4099-84c3-0aac47c85bea,jhayco,Jhayco
11e81bcb-2459-a020-b186-a0369fe50396,joji-1,joji
11e81bca-59e0-0fa0-ae8e-a0369fe50396,romeo-santos,Romeo Santos
11e81bcd-f913-dc66-b397-a0369fe50396,guns-n-roses,Guns N’ Roses
11e81bba-78a7-33ec-a1eb-a0369fe50396,a-r-rahman,A.R. Rahman
11e81bca-dfc7-da26-b4ad-a0369fe50396,abba,ABBA
11e81bc7-2d91-11fe-9258-a0369fe50396,metallica,Metallica
670f9df8-6c41-4586-9a8e-542cd7c40040,em-beihold,Em Beihold
11e81bd2-ba56-989c-bc75-a0369fe50396,070-shake,070 Shake
11e81bc7-b0b2-0f2a-bc0c-a0369fe50396,dj-khaled,DJ Khaled
11e81bbc-0248-2948-b309-a0369fe50396,usher,Usher
11e81bc6-cdc0-7148-b8ec-a0369fe50396,sebastian-yatra,Sebastián Yatra
